palier,mot,phrase,indice
2,essayer,Je veux essayer ce nouveau jeu.,
1,est,Le soleil se lève à l'est.,
1,étage,Ma classe est au deuxième étage.,
1,état,Le vieux livre est en bon état.,
1,être,Il faut être patient avec les autres.,
2,étudier,Je vais étudier mes mots ce soir.,
3,évènement,Un grand évènement aura lieu vendredi.,
3,évidemment,Évidemment il faut respecter les règles.,
2,éviter,Il faut éviter les flaques d'eau.,
3,exactement,C'est exactement la bonne réponse.,
2,exister,Les licornes n'existent pas en réalité.,
3,expérience,Nous faisons une expérience en sciences.,
3,expliquer,Je vais expliquer ma réponse.,
3,extraordinaire,Le spectacle était extraordinaire.,
2,facilement,Elle lit facilement ce texte.,
2,façon,Chacun a sa façon de travailler.,
2,famille,j'adore passer du temps en famille,
3,fantastique,le voyage était fantastique,
2,fatiguer,Courir longtemps peut me fatiguer.,
1,ferme,La ferme a des poules et des vaches.,
1,fermer,Il faut fermer la porte doucement.,
1,fêter,Nous allons fêter ton anniversaire.,
1,feu,le feu brûle dans la cheminée,
2,fille,une petite fille rit aux éclats,
2,fillette,La fillette porte un chapeau rouge.,
1,fin,La fin du conte est surprenante.,
3,fin de semaine,Nous irons au chalet en fin de semaine.,
3,finalement,Finalement nous avons trouvé la clé.,
1,fleur,une jolie fleur dans le jardin,
1,force,Il pousse la porte avec force.,
1,forêt,il y a beaucoup d'arbres dans la forêt,
1,forme,Le nuage a une drôle de forme.,
1,fort,Mon frère est fort au soccer.,
1,foule,Une grande foule attend le spectacle.,
2,framboise,La framboise est rouge et sucrée.,
1,froid,Il fait froid ce matin.,
1,frond,Le frond de l'arbre bouge dans le vent.,
1,fumer,Il est interdit de fumer dans l'école.,
2,garçon,un garçon joue au soccer,
1,garde,Le chien monte la garde devant la porte.,
2,gardien,Le gardien protège le but.,
2,gardienne,La gardienne surveille la cour.,
2,gâteau,maman a fait un gâteau au chocolat,
3,généralement,"généralement, je me couche tôt",
3,géographie,"en géographie, on étudie les pays",
1,geste,Un petit geste peut aider quelqu'un.,
1,goût,Ce jus a un bon goût de pomme.,
1,gramme,Un gramme est une petite mesure.,
1,grand,Le sapin est grand et vert.,
1,grave,Ce n'est pas grave si tu recommences.,
1,grotte,Les chauves-souris vivent dans la grotte.,
2,guimauve,Je fais griller une guimauve sur le feu.,
2,habitude,J'ai l'habitude de préparer mon sac.,
1,hasard,J'ai choisi un livre au hasard.,
1,hâte,J'ai hâte de te revoir.,
2,héroïne,L'héroïne de l'histoire est courageuse.,
1,héros,Le héros sauve le village.,
2,hésiter,Il ne faut pas hésiter à demander de l'aide.,
3,heureusement,Heureusement personne n'est blessé.,
2,hibou,le hibou hulule pendant la nuit,
1,hier,Hier nous avons joué dehors.,
2,hiver,il neige beaucoup en hiver,
1,hockey,Il joue au hockey sur glace.,
2,hôpital,le médecin travaille à l'hôpital,
2,horizon,Le soleil disparaît à l'horizon.,
2,horreur,Le film d'horreur m'a fait peur.,
1,humeur,Il est de bonne humeur ce matin.,
1,hurler,Il ne faut pas hurler dans la classe.,
1,île,Nous visitons une petite île.,
3,imagination,Mon imagination invente des histoires.,
2,imaginer,J'aime imaginer des mondes nouveaux.,
3,immédiatement,"viens ici immédiatement, s'il te plaît",
2,immense,le ciel étoilé est immense,
2,impossible,Ce casse-tête semble impossible.,
2,impression,J'ai l'impression d'avoir déjà vu ce film.,
2,incroyable,Cette découverte est incroyable.,
2,insister,Je dois insister pour obtenir une réponse.,
2,instant,Attends un instant avant de parler.,
3,intelligent,ce chien est très intelligent,
2,intérieur,L'intérieur de la maison est chaleureux.,
3,intérieure,La porte intérieure est fermée.,
2,intrépide,La fillette intrépide grimpe dans l'arbre.,
2,inventer,J'aime inventer des histoires.,
2,invité,Un invité arrive pour le souper.,
2,jamais,je ne mens jamais,
2,jardin,il y a des tomates dans le jardin,
1,jaune,le soleil est jaune,
1,joueur,Le joueur marque un but.,
2,joueuse,La joueuse lance le ballon.,
1,jour,"quelle belle journée, un beau jour ensoleillé",
1,jurer,Il ne faut pas jurer dans la cour.,
3,jusqu'à,Nous marchons jusqu'à la rivière.,
3,jusqu'au,Je vais jusqu'au parc avec mon père.,
3,jusqu'aux,Le sentier va jusqu'aux montagnes.,
2,justement,Je pensais justement à toi.,
2,kilomètre,Nous avons marché un kilomètre.,
1,la,La lune brille dans le ciel.,
3,la leur,Cette maison est la leur.,
3,la mienne,Cette idée est la mienne.,
3,la plupart,La plupart aiment la musique.,
3,la plupart des,La plupart des élèves ont terminé.,
3,la sienne,Cette bicyclette est la sienne.,
3,la tienne,Cette place est la tienne.,
2,là-bas,Mes cousins habitent là-bas.,
1,lac,Nous nageons dans le lac en été.,
1,laine,Mon foulard est fait de laine.,
1,lait,Je bois un verre de lait.,
2,laitier,Le camion laitier passe le matin.,
2,laitière,La vache laitière donne du lait.,
1,lampe,La lampe éclaire mon bureau.,
1,lance,Le chevalier tient une lance.,
3,laquelle,Laquelle de ces robes préfères-tu?,
1,laver,Je dois me laver les mains.,
1,le,Le chien aboie dans le jardin.,
3,le leur,Ce ballon est le leur.,
3,le mien,Ce crayon est le mien.,
3,le sien,Ce sac est le sien.,
3,le tien,Ce livre est le tien.,
1,léger,Le sac est léger aujourd'hui.,
2,légère,La plume est légère comme l'air.,
2,lentille,Une lentille aide à mieux voir.,
1,les,Les enfants jouent dans la cour.,
3,les leurs,Ces patins sont les leurs.,
3,les miennes,Ces bottes sont les miennes.,
3,les miens,Ces gants sont les miens.,
3,les siennes,Ces lunettes sont les siennes.,
3,les siens,Ces jouets sont les siens.,
3,les tiennes,Ces mitaines sont les tiennes.,
3,les tiens,Ces patins sont les tiens.,
3,lesquelles,Lesquelles de ces cartes sont à toi?,
3,lesquels,Lesquels de ces livres veux-tu lire?,
1,livre,je lis un livre intéressant,
3,longtemps,j'ai attendu longtemps avant de partir,
3,lors de,Nous avons chanté lors de la fête.,
2,luisant,Le plancher luisant reflète la lumière.,
2,luisante,La pierre luisante brille au soleil.,
2,lunette,J'ai oublié une lunette de soleil dans la voiture.,
2,madame,"bonsoir madame, bienvenue",
3,mademoiselle,La mademoiselle attend devant la classe.,
1,magie,Le spectacle de magie commence bientôt.,
2,magique,Cette forêt semble magique.,
3,magnétique,un aimant est magnétique,
3,magnifique,Le coucher de soleil est magnifique.,
2,maison,j'habite dans une grande maison,
2,maître,Le maître explique la leçon.,
2,maîtresse,La maîtresse corrige les cahiers.,
2,malgré,Nous sortons malgré la pluie.,
3,malheureuse,La fillette malheureuse pleure doucement.,
3,malheureusement,Malheureusement la sortie est annulée.,
3,malheureux,Le garçon malheureux cherche son jouet.,
2,mariage,Le mariage aura lieu samedi.,
2,marquer,L'équipe veut marquer un point.,
2,marraine,Ma marraine m'envoie une carte.,
3,mathématiques,j'aime les mathématiques à l'école,
2,matière,Les sciences sont ma matière préférée.,
1,matin,"le matin, je prends mon déjeuner",
2,médaille,La médaille brille autour de son cou.,
3,médecin,le médecin soigne les malades,
2,mélange,Le mélange devient bleu.,
1,même,Nous avons le même chandail.,
1,mer,la mer est calme aujourd'hui,
3,merveilleuse,Cette journée est merveilleuse.,
3,merveilleux,Nous avons passé un moment merveilleux.,
3,mesdemoiselles,Bonjour mesdemoiselles dit le professeur.,
2,message,J'écris un message à mon cousin.,
1,messe,La messe commence à dix heures.,
1,métro,Je prends le métro pour aller au centre-ville.,
1,meuble,Le nouveau meuble est dans ma chambre.,
1,midi,"à midi, on dîne ensemble",
2,minuscule,Une minuscule fourmi marche sur la table.,
2,misère,J'ai de la misère à ouvrir le pot.,
2,mission,Notre mission est de nettoyer la cour.,
1,mode,Cette chanson est à la mode.,
2,monsieur,"bonjour monsieur, comment allez-vous",
2,montagne,j'ai grimpé sur la montagne,
2,mouvement,Le mouvement des vagues me calme.,
2,musique,j'écoute de la musique douce,
2,mystère,Le mystère sera résolu à la fin.,
3,naturellement,il sourit naturellement,
1,net,Le trait est net et droit.,
1,nette,La photo est nette.,
1,neuf,il a neuf ans aujourd'hui,
1,noir,j'ai un chat noir à la maison,
2,nombreux,De nombreux enfants jouent dehors.,
1,nommer,La maîtresse va nommer un chef d'équipe.,
1,nord,La boussole indique le nord.,
1,normal,Il est normal de faire des erreurs.,
2,normaux,Ces résultats sont normaux pour notre âge.,
2,nouille,Une nouille tombe de ma fourchette.,
2,nouvelle,J'écris une nouvelle dans mon cahier.,
1,nu,Le bébé dort nu sous sa couverture.,
1,nue,La branche est nue en hiver.,
1,nuit,"la nuit, je dors profondément",
2,numéro,Écris ton numéro sur la feuille.,
1,objet,Cet objet appartient à mon ami.,
2,obliger,Personne ne doit t'obliger à mentir.,
2,observer,Nous allons observer les étoiles.,
2,occasion,J'aurai l'occasion de parler demain.,
1,odeur,Une bonne odeur sort de la cuisine.,
2,oiseau,l'oiseau vole dans le ciel,
2,oiseaux,les oiseaux chantent au lever du soleil,
1,opéra,Ma tante chante à l'opéra.,
3,opération,L'opération de math est difficile.,
1,or,La bague brille comme de l'or.,
2,ordinaire,Ce lundi semble ordinaire.,
3,ordinateur,mon ordinateur portable est neuf,
1,oser,Il faut oser poser une question.,
1,ou,Tu veux une pomme ou une poire?,
1,ouest,Le soleil se couche à l'ouest.,
2,ouvrage,Cet ouvrage parle des animaux.,
2,paille,Je bois mon jus avec une paille.,
1,paix,Nous souhaitons vivre en paix.,
1,papier,une feuille de papier blanc,
2,papillon,Le papillon se pose sur une fleur.,
3,parce que,je suis content parce que c'est congé,
1,pardon,Je dis pardon quand je fais une erreur.,
2,pardonner,Je peux pardonner à mon ami.,
3,parfaitement,Tu as parfaitement compris la consigne.,
1,parmi,J'ai choisi mon livre parmi les autres.,
1,parole,Je tiens toujours ma parole.,
2,parrain,Mon parrain aime raconter des histoires.,
3,particulier,ce cas-ci est très particulier,
1,partir,Nous allons partir après le dîner.,
1,passe,Le joueur fait une passe à son ami.,
2,patiner,J'aime patiner sur la glace.,
2,pensée,J'ai une pensée gentille pour toi.,
3,peut-être,peut-être que je viendrai demain,
2,phoque,Le phoque nage dans l'eau froide.,
2,photographie,j'ai pris une belle photographie,
1,piano,Je joue du piano après l'école.,
1,pigeon,Un pigeon marche sur le trottoir.,
1,pire,La pluie rend le chemin encore pire.,
1,placer,Je vais placer les livres sur l'étagère.,
1,plage,je joue dans le sable de la plage,
1,plaire,Ce cadeau va plaire à ma sœur.,
2,plancher,Le plancher craque sous mes pas.,
2,planète,La Terre est une planète.,
1,plat,Ce plat de pâtes sent très bon.,
2,plein de,Le panier est plein de pommes.,
2,pleurer,Le bébé se met à pleurer.,
1,plume,La plume de l'oiseau est légère.,
2,plutôt,Je préfère lire plutôt que regarder la télévision.,
1,poème,J'apprends un poème par cœur.,
1,pointe,La pointe du crayon est cassée.,
2,poitrine,Il sent son cœur battre dans sa poitrine.,
1,pont,Nous traversons le pont à pied.,
1,port,Le bateau entre dans le port.,
1,porte,ferme la porte derrière toi,
1,poste,Mon oncle travaille au poste de police.,
3,poursuivre,Le détective va poursuivre son enquête.,
2,pourtant,Il fait froid pourtant le soleil brille.,
2,poussière,La poussière couvre le vieux coffre.,
3,pouvoir,Je vais pouvoir venir samedi.,
2,préféré,Mon sport préféré est le soccer.,
2,préférée,Ma couleur préférée est le bleu.,
2,présence,Ta présence me fait plaisir.,
2,presser,Il ne faut pas presser les autres.,
1,prêt,Je suis prêt pour le départ.,
1,prête,Elle est prête pour la course.,
1,prier,Certains aiment prier en silence.,
2,printemps,"au printemps, les fleurs poussent",
1,prison,Le voleur est envoyé en prison.,
2,problème,Nous résolvons un problème ensemble.,
2,proche,L'école est proche de la maison.,
2,professeur,le professeur écrit au tableau,
2,profiter,Nous allons profiter du beau temps.,
2,profond,Le lac est profond au milieu.,
2,profonde,La rivière est profonde ici.,
2,promenade,Nous faisons une promenade près du lac.,
1,propos,Ses propos sont gentils et respectueux.,
3,puisqu',Puisqu'il pleut nous restons à l'intérieur.,
2,puisque,Je prends mon manteau puisque le vent souffle.,
2,pupitre,Je range mes crayons dans mon pupitre.,
1,pur,L'air de la montagne est pur.,
1,quart,Il est neuf heures et quart.,
2,quartier,Mon quartier a un grand parc.,
3,quatrième,Je suis en quatrième année.,
3,quelque chose,J'ai oublié quelque chose dans mon sac.,
3,quelquefois,Quelquefois je lis avant de dormir.,
2,quitter,Nous devons quitter la salle en silence.,
1,quoi,De quoi as-tu besoin?,
2,racisme,Le racisme blesse les personnes.,
1,raison,Tu as raison de vérifier ton travail.,
2,ramasser,Je vais ramasser les feuilles mortes.,
2,ramener,Je vais ramener mon livre à l'école.,
2,rapidement,Elle court rapidement vers l'école.,
2,rapporter,Je vais rapporter le livre demain.,
2,réalité,Dans la réalité les dragons n'existent pas.,
3,rechercher,Je vais rechercher mon crayon perdu.,
3,recommencer,Tu peux recommencer l'exercice.,
2,refaire,Je dois refaire mon dessin avec soin.,
3,réfléchir,Il faut réfléchir avant de répondre.,
2,refrain,Nous chantons le refrain ensemble.,
1,regard,Son regard est doux et calme.,
3,rendez-vous,j'ai rendez-vous chez le dentiste,
2,rentrer,Nous devons rentrer avant la nuit.,
2,repartir,Il faut repartir avant la nuit.,
2,repasser,Je dois repasser par la maison.,
2,répéter,Tu peux répéter la question s'il te plaît.,
2,réplique,Sa réplique fait rire toute la classe.,
2,réponse,La réponse se trouve dans le texte.,
2,reposer,Je vais me reposer après la course.,
3,représenter,Ce dessin peut représenter notre classe.,
2,respirer,Respirer calmement aide à se détendre.,
3,ressemblance,il y a une grande ressemblance entre eux,
2,ressembler,Tu vas ressembler à ton frère avec cette casquette.,
1,reste,Il reste une pomme dans le panier.,
1,retour,Je suis heureux de mon retour à la maison.,
1,rêve,Mon rêve est de voler en avion.,
1,revoir,J'espère te revoir bientôt.,
2,rideau,Le rideau s'ouvre au début du spectacle.,
2,rivière,la rivière coule doucement,
1,rôle,Chaque élève a un rôle dans la pièce.,
1,rose,"une rose dans le vase, la fleur rose",
1,roue,La roue du vélo tourne vite.,
1,rouge,la pomme est bien rouge,
2,royaume,Le roi gouverne son royaume.,
1,ruban,J'attache un ruban au cadeau.,
1,rue,je marche dans la rue,
1,ruelle,La ruelle est étroite et sombre.,
1,rugir,Le lion se met à rugir.,
3,s'ennuyer,Je peux m'ennuyer quand il pleut.,
1,sable,Je construis un château de sable.,
1,salon,Nous lisons ensemble dans le salon.,
1,sang,Le sang circule dans le corps.,
1,sauf,Tout le monde vient sauf Marc.,
1,sauter,J'aime sauter dans les flaques.,
1,scène,Les acteurs montent sur la scène.,
3,se souvenir,Je veux me souvenir de cette journée.,
2,seconde,Attends une seconde s'il te plaît.,
2,secours,Les secours arrivent rapidement.,
1,secret,Je garde ton secret.,
2,secrète,La cachette secrète est sous l'escalier.,
1,selon,Selon moi ce film est drôle.,
1,sens,Je cherche le sens de ce mot.,
1,serrer,Je vais serrer la main de mon ami.,
3,seulement,Il reste seulement deux biscuits.,
1,signe,Fais un signe de la main.,
2,silence,Le silence règne dans la bibliothèque.,
1,simple,Cette recette est simple à suivre.,
1,singe,Le singe grimpe dans l'arbre.,
1,sinon,Mets ton manteau sinon tu auras froid.,
3,situation,Cette situation demande du calme.,
1,ski,Je fais du ski en hiver.,
1,soccer,Nous jouons au soccer dans le parc.,
1,soir,"le soir, je lis avant de dormir",
1,soit,Choisis soit le rouge soit le bleu.,
1,sol,Le ballon roule sur le sol.,
1,soldat,Le soldat marche dans le défilé.,
2,soldate,La soldate porte un uniforme propre.,
3,solution,Nous avons trouvé la solution.,
1,sombre,La forêt devient sombre le soir.,
2,sommeil,Le sommeil aide à grandir.,
1,sommet,Nous atteignons le sommet de la colline.,
2,sorcier,Le sorcier prépare une potion.,
2,sorcière,La sorcière vole sur son balai.,
1,sort,Le sort du héros dépend de son courage.,
1,sortie,La sortie de l'école est à trois heures.,
2,soudain,Soudain la lumière s'éteint.,
2,soudaine,Une pluie soudaine tombe sur la cour.,
2,souffler,Le vent va souffler toute la nuit.,
1,soupe,Ma grand-mère prépare une soupe chaude.,
1,souper,Nous allons souper chez mes cousins.,
2,sourire,Son sourire illumine la pièce.,
2,souvent,je vais souvent à la bibliothèque,
1,statue,La statue se trouve devant le musée.,
1,sud,Les oiseaux volent vers le sud.,
2,suffire,Un seul exemple peut suffire.,
2,suivant,Lis le paragraphe suivant.,
2,suivante,Tourne à la page suivante.,
1,sur,Le livre est sur la table.,
3,sûrement,Tu réussiras sûrement avec de la pratique.,
3,surprendre,Je veux surprendre mon ami.,
2,surprise,La surprise est cachée dans la boîte.,
3,sympathique,ma voisine est très sympathique,
2,système,Le système solaire compte huit planètes.,
1,table,la table de la cuisine est en bois,
3,tandis que,Elle chante tandis que je joue du piano.,
3,tandis qu'il,Je lis tandis qu'il dessine.,
1,tas,Il y a un tas de feuilles dans la cour.,
2,téléphone,le téléphone sonne dans le salon,
2,téléviseur,j'allume le téléviseur pour le hockey,
1,tenir,Peux-tu tenir mon sac un instant?,
1,terre,la planète Terre tourne autour du Soleil,
2,terrible,L'orage a fait un bruit terrible.,
2,théâtre,Nous allons au théâtre samedi.,
2,toilette,Je vais à la toilette avant le départ.,
1,toit,La neige couvre le toit.,
1,tôt,Je me lève tôt pour l'école.,
2,toujours,je suis toujours à l'heure,
1,tour,C'est ton tour de jouer.,
1,tout,J'ai tout rangé avant de partir.,
3,tout à coup,Tout à coup le chien a aboyé.,
3,toutefois,Il fait beau; toutefois le vent est froid.,
